PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=1 ttl=64 time=40.2 ms
64 bytes from 10.79.140.204: icmp_seq=2 ttl=64 time=57.5 ms
64 bytes from 10.79.140.204: icmp_seq=3 ttl=64 time=79.5 ms
64 bytes from 10.79.140.204: icmp_seq=4 ttl=64 time=101 ms
64 bytes from 10.79.140.204: icmp_seq=5 ttl=64 time=20.3 ms
64 bytes from 10.79.140.204: icmp_seq=6 ttl=64 time=48.3 ms
64 bytes from 10.79.140.204: icmp_seq=7 ttl=64 time=67.9 ms
64 bytes from 10.79.140.204: icmp_seq=8 ttl=64 time=90.7 ms
64 bytes from 10.79.140.204: icmp_seq=9 ttl=64 time=5.21 ms
64 bytes from 10.79.140.204: icmp_seq=10 ttl=64 time=32.0 ms
64 bytes from 10.79.140.204: icmp_seq=11 ttl=64 time=60.7 ms
64 bytes from 10.79.140.204: icmp_seq=12 ttl=64 time=77.5 ms
64 bytes from 10.79.140.204: icmp_seq=13 ttl=64 time=103 ms
64 bytes from 10.79.140.204: icmp_seq=14 ttl=64 time=20.0 ms
64 bytes from 10.79.140.204: icmp_seq=15 ttl=64 time=64.1 ms
64 bytes from 10.79.140.204: icmp_seq=16 ttl=64 time=67.0 ms
64 bytes from 10.79.140.204: icmp_seq=17 ttl=64 time=5.36 ms
64 bytes from 10.79.140.204: icmp_seq=18 ttl=64 time=110 ms
64 bytes from 10.79.140.204: icmp_seq=19 ttl=64 time=31.0 ms
64 bytes from 10.79.140.204: icmp_seq=20 ttl=64 time=53.7 ms
64 bytes from 10.79.140.204: icmp_seq=21 ttl=64 time=76.7 ms
64 bytes from 10.79.140.204: icmp_seq=22 ttl=64 time=13.6 ms
64 bytes from 10.79.140.204: icmp_seq=23 ttl=64 time=81.4 ms
64 bytes from 10.79.140.204: icmp_seq=24 ttl=64 time=9.95 ms
64 bytes from 10.79.140.204: icmp_seq=25 ttl=64 time=120 ms
64 bytes from 10.79.140.204: icmp_seq=26 ttl=64 time=37.9 ms
64 bytes from 10.79.140.204: icmp_seq=27 ttl=64 time=21.7 ms
64 bytes from 10.79.140.204: icmp_seq=28 ttl=64 time=30.1 ms
64 bytes from 10.79.140.204: icmp_seq=29 ttl=64 time=56.6 ms
64 bytes from 10.79.140.204: icmp_seq=30 ttl=64 time=175 ms
64 bytes from 10.79.140.204: icmp_seq=31 ttl=64 time=97.4 ms
64 bytes from 10.79.140.204: icmp_seq=32 ttl=64 time=7.06 ms
64 bytes from 10.79.140.204: icmp_seq=33 ttl=64 time=39.6 ms
64 bytes from 10.79.140.204: icmp_seq=34 ttl=64 time=64.0 ms
