PING 10.79.244.221 (10.79.244.221) 56(84) bytes of data.
64 bytes from 10.79.244.221: icmp_seq=1 ttl=64 time=10.2 ms
64 bytes from 10.79.244.221: icmp_seq=2 ttl=64 time=8.99 ms
64 bytes from 10.79.244.221: icmp_seq=3 ttl=64 time=9.61 ms
64 bytes from 10.79.244.221: icmp_seq=4 ttl=64 time=7.80 ms
64 bytes from 10.79.244.221: icmp_seq=5 ttl=64 time=8.08 ms
64 bytes from 10.79.244.221: icmp_seq=6 ttl=64 time=8.68 ms
64 bytes from 10.79.244.221: icmp_seq=7 ttl=64 time=10.3 ms
64 bytes from 10.79.244.221: icmp_seq=8 ttl=64 time=9.03 ms
64 bytes from 10.79.244.221: icmp_seq=9 ttl=64 time=6.32 ms
64 bytes from 10.79.244.221: icmp_seq=10 ttl=64 time=7.46 ms
64 bytes from 10.79.244.221: icmp_seq=11 ttl=64 time=7.04 ms
64 bytes from 10.79.244.221: icmp_seq=12 ttl=64 time=5.97 ms
64 bytes from 10.79.244.221: icmp_seq=13 ttl=64 time=8.88 ms
64 bytes from 10.79.244.221: icmp_seq=14 ttl=64 time=12.9 ms
64 bytes from 10.79.244.221: icmp_seq=15 ttl=64 time=11.4 ms
64 bytes from 10.79.244.221: icmp_seq=16 ttl=64 time=16.6 ms
64 bytes from 10.79.244.221: icmp_seq=17 ttl=64 time=8.98 ms
64 bytes from 10.79.244.221: icmp_seq=18 ttl=64 time=8.48 ms
64 bytes from 10.79.244.221: icmp_seq=19 ttl=64 time=10.8 ms
64 bytes from 10.79.244.221: icmp_seq=20 ttl=64 time=9.56 ms
64 bytes from 10.79.244.221: icmp_seq=21 ttl=64 time=9.66 ms
64 bytes from 10.79.244.221: icmp_seq=22 ttl=64 time=9.98 ms
64 bytes from 10.79.244.221: icmp_seq=23 ttl=64 time=13.2 ms
64 bytes from 10.79.244.221: icmp_seq=24 ttl=64 time=18.0 ms
64 bytes from 10.79.244.221: icmp_seq=25 ttl=64 time=6.39 ms
64 bytes from 10.79.244.221: icmp_seq=26 ttl=64 time=12.8 ms
64 bytes from 10.79.244.221: icmp_seq=27 ttl=64 time=7.19 ms
64 bytes from 10.79.244.221: icmp_seq=28 ttl=64 time=7.53 ms
64 bytes from 10.79.244.221: icmp_seq=29 ttl=64 time=8.58 ms
64 bytes from 10.79.244.221: icmp_seq=30 ttl=64 time=8.36 ms
64 bytes from 10.79.244.221: icmp_seq=31 ttl=64 time=6.83 ms
64 bytes from 10.79.244.221: icmp_seq=32 ttl=64 time=6.39 ms
64 bytes from 10.79.244.221: icmp_seq=33 ttl=64 time=7.28 ms
64 bytes from 10.79.244.221: icmp_seq=34 ttl=64 time=8.73 ms
64 bytes from 10.79.244.221: icmp_seq=35 ttl=64 time=8.95 ms
64 bytes from 10.79.244.221: icmp_seq=36 ttl=64 time=8.03 ms
64 bytes from 10.79.244.221: icmp_seq=37 ttl=64 time=6.90 ms
64 bytes from 10.79.244.221: icmp_seq=38 ttl=64 time=8.28 ms
64 bytes from 10.79.244.221: icmp_seq=39 ttl=64 time=7.15 ms
64 bytes from 10.79.244.221: icmp_seq=40 ttl=64 time=10.5 ms
64 bytes from 10.79.244.221: icmp_seq=41 ttl=64 time=10.8 ms
64 bytes from 10.79.244.221: icmp_seq=42 ttl=64 time=7.10 ms
64 bytes from 10.79.244.221: icmp_seq=43 ttl=64 time=8.33 ms
64 bytes from 10.79.244.221: icmp_seq=44 ttl=64 time=16.9 ms
64 bytes from 10.79.244.221: icmp_seq=45 ttl=64 time=9.57 ms
64 bytes from 10.79.244.221: icmp_seq=46 ttl=64 time=9.73 ms
64 bytes from 10.79.244.221: icmp_seq=47 ttl=64 time=8.91 ms
64 bytes from 10.79.244.221: icmp_seq=48 ttl=64 time=84.6 ms
64 bytes from 10.79.244.221: icmp_seq=49 ttl=64 time=159 ms
64 bytes from 10.79.244.221: icmp_seq=50 ttl=64 time=70.3 ms
64 bytes from 10.79.244.221: icmp_seq=51 ttl=64 time=10.5 ms
64 bytes from 10.79.244.221: icmp_seq=52 ttl=64 time=122 ms
64 bytes from 10.79.244.221: icmp_seq=53 ttl=64 time=9.38 ms
64 bytes from 10.79.244.221: icmp_seq=54 ttl=64 time=4.87 ms
64 bytes from 10.79.244.221: icmp_seq=55 ttl=64 time=5.51 ms
64 bytes from 10.79.244.221: icmp_seq=56 ttl=64 time=5.68 ms
64 bytes from 10.79.244.221: icmp_seq=57 ttl=64 time=5.71 ms
64 bytes from 10.79.244.221: icmp_seq=58 ttl=64 time=9.51 ms
64 bytes from 10.79.244.221: icmp_seq=59 ttl=64 time=5.10 ms
64 bytes from 10.79.244.221: icmp_seq=60 ttl=64 time=5.54 ms
64 bytes from 10.79.244.221: icmp_seq=61 ttl=64 time=5.82 ms
64 bytes from 10.79.244.221: icmp_seq=62 ttl=64 time=5.17 ms
64 bytes from 10.79.244.221: icmp_seq=63 ttl=64 time=5.70 ms
64 bytes from 10.79.244.221: icmp_seq=64 ttl=64 time=9.80 ms
64 bytes from 10.79.244.221: icmp_seq=65 ttl=64 time=4.83 ms
64 bytes from 10.79.244.221: icmp_seq=66 ttl=64 time=8.80 ms
64 bytes from 10.79.244.221: icmp_seq=67 ttl=64 time=8.42 ms
64 bytes from 10.79.244.221: icmp_seq=68 ttl=64 time=5.63 ms
64 bytes from 10.79.244.221: icmp_seq=69 ttl=64 time=6.54 ms
64 bytes from 10.79.244.221: icmp_seq=70 ttl=64 time=9.43 ms
64 bytes from 10.79.244.221: icmp_seq=71 ttl=64 time=10.1 ms
64 bytes from 10.79.244.221: icmp_seq=72 ttl=64 time=9.86 ms
64 bytes from 10.79.244.221: icmp_seq=73 ttl=64 time=6.24 ms
64 bytes from 10.79.244.221: icmp_seq=74 ttl=64 time=9.38 ms
64 bytes from 10.79.244.221: icmp_seq=75 ttl=64 time=10.9 ms
64 bytes from 10.79.244.221: icmp_seq=76 ttl=64 time=73.4 ms
64 bytes from 10.79.244.221: icmp_seq=77 ttl=64 time=8.64 ms
64 bytes from 10.79.244.221: icmp_seq=78 ttl=64 time=5.84 ms
64 bytes from 10.79.244.221: icmp_seq=79 ttl=64 time=5.10 ms
64 bytes from 10.79.244.221: icmp_seq=80 ttl=64 time=7.16 ms
64 bytes from 10.79.244.221: icmp_seq=81 ttl=64 time=9.49 ms
64 bytes from 10.79.244.221: icmp_seq=82 ttl=64 time=5.18 ms
64 bytes from 10.79.244.221: icmp_seq=83 ttl=64 time=7.64 ms
64 bytes from 10.79.244.221: icmp_seq=84 ttl=64 time=12.0 ms
64 bytes from 10.79.244.221: icmp_seq=85 ttl=64 time=6.97 ms
64 bytes from 10.79.244.221: icmp_seq=86 ttl=64 time=5.92 ms
