minsec,seconds,optB,timestamp
2038,1636291238,10,1636291238.134020
2039,1636291239,10,1636291239.140858
2040,1636291240,10,1636291240.147406
2041,1636291241,10,1636291241.153897
2042,1636291242,10,1636291242.159875
2043,1636291243,10,1636291243.173787
2044,1636291244,10,1636291244.179968
2045,1636291245,10,1636291245.184722
2046,1636291246,10,1636291246.190422
2047,1636291247,10,1636291247.196901
2048,1636291248,8,1636291248.210364
2049,1636291249,8,1636291249.215970
2050,1636291250,8,1636291250.221809
2051,1636291251,8,1636291251.228333
2052,1636291252,8,1636291252.235005
2053,1636291253,8,1636291253.249914
2054,1636291254,8,1636291254.256227
2055,1636291255,8,1636291255.261867
2056,1636291256,8,1636291256.267994
2057,1636291257,8,1636291257.274400
2058,1636291258,6,1636291258.285577
2059,1636291259,6,1636291259.289360
2100,1636291260,6,1636291260.294026
2101,1636291261,6,1636291261.300381
2102,1636291262,6,1636291262.307175
2103,1636291263,4,1636291263.320537
2104,1636291264,4,1636291264.327024
2105,1636291265,4,1636291265.332270
2106,1636291266,4,1636291266.338635
2107,1636291267,4,1636291267.345438
2108,1636291268,2,1636291268.360762
2109,1636291269,2,1636291269.367407
2110,1636291270,2,1636291270.372379
2111,1636291271,2,1636291271.378684
2112,1636291272,2,1636291272.385364
2113,1636291273,2,1636291273.398522
2114,1636291274,2,1636291274.404946
2115,1636291275,2,1636291275.410867
2116,1636291276,2,1636291276.417080
2117,1636291277,2,1636291277.423828
2118,1636291278,2,1636291278.439180
2119,1636291279,2,1636291279.445670
2120,1636291280,2,1636291280.450974
2121,1636291281,2,1636291281.456986
2122,1636291282,2,1636291282.463044
2123,1636291283,4,1636291283.475651
2124,1636291284,4,1636291284.481978
2125,1636291285,4,1636291285.487965
2126,1636291286,4,1636291286.494309
2127,1636291287,4,1636291287.500892
2128,1636291288,6,1636291288.516248
2129,1636291289,6,1636291289.523015
2130,1636291290,6,1636291290.527105
2131,1636291291,6,1636291291.532435
2132,1636291292,6,1636291292.538931
2133,1636291293,8,1636291293.551846
2134,1636291294,8,1636291294.558478
2135,1636291295,8,1636291295.565114
2136,1636291296,8,1636291296.571349
2137,1636291297,8,1636291297.577785
2138,1636291298,8,1636291298.593024
2139,1636291299,8,1636291299.599281
2140,1636291300,8,1636291300.605777
2141,1636291301,8,1636291301.612217
2142,1636291302,8,1636291302.618907
2143,1636291303,10,1636291303.633975
2144,1636291304,10,1636291304.640744
2145,1636291305,10,1636291305.647463
2146,1636291306,10,1636291306.654111
2147,1636291307,10,1636291307.660490
2148,1636291308,10,1636291308.674331
2149,1636291309,10,1636291309.679518
2150,1636291310,10,1636291310.684697
2151,1636291311,10,1636291311.691346
2152,1636291312,10,1636291312.698035
2153,1636291313,10,1636291313.711424
2154,1636291314,10,1636291314.717726
2155,1636291315,10,1636291315.724394
2156,1636291316,10,1636291316.731050
2157,1636291317,10,1636291317.736038
2158,1636291318,8,1636291318.748526
2159,1636291319,8,1636291319.753948
2200,1636291320,8,1636291320.759656
2201,1636291321,8,1636291321.765125
2202,1636291322,8,1636291322.770997
2203,1636291323,8,1636291323.783107
2204,1636291324,8,1636291324.788762
2205,1636291325,8,1636291325.793713
2206,1636291326,8,1636291326.798165
2207,1636291327,8,1636291327.804276
2208,1636291328,6,1636291328.818339
2209,1636291329,6,1636291329.825527
2210,1636291330,6,1636291330.831774
2211,1636291331,6,1636291331.838351
2212,1636291332,6,1636291332.845115
2213,1636291333,4,1636291333.862870
2214,1636291334,4,1636291334.869554
2215,1636291335,4,1636291335.877298
2216,1636291336,4,1636291336.883803
2217,1636291337,4,1636291337.890736
2218,1636291338,2,1636291338.906743
2219,1636291339,2,1636291339.913389
2220,1636291340,2,1636291340.920278
2221,1636291341,2,1636291341.926769
2222,1636291342,2,1636291342.933430
2223,1636291343,2,1636291343.948294
2224,1636291344,2,1636291344.954730
2225,1636291345,2,1636291345.960523
2226,1636291346,2,1636291346.966864
2227,1636291347,2,1636291347.973502
2228,1636291348,2,1636291348.988113
2229,1636291349,2,1636291349.994533
2230,1636291350,2,1636291351.000833
2232,1636291352,2,1636291352.007417
2233,1636291353,2,1636291353.013537
2234,1636291354,4,1636291354.026262
2235,1636291355,4,1636291355.030628
2236,1636291356,4,1636291356.036498
2237,1636291357,4,1636291357.042472
2238,1636291358,4,1636291358.047351
2239,1636291359,6,1636291359.059445
2240,1636291360,6,1636291360.065488
2241,1636291361,6,1636291361.072025
2242,1636291362,6,1636291362.078623
2243,1636291363,6,1636291363.085044
2244,1636291364,8,1636291364.099687
2245,1636291365,8,1636291365.105798
2246,1636291366,8,1636291366.111763
2247,1636291367,8,1636291367.116180
2248,1636291368,8,1636291368.122335
2249,1636291369,8,1636291369.134150
2250,1636291370,8,1636291370.141079
2251,1636291371,8,1636291371.147696
2252,1636291372,8,1636291372.152605
2253,1636291373,8,1636291373.158789
2254,1636291374,10,1636291374.171785
2255,1636291375,10,1636291375.177830
2256,1636291376,10,1636291376.184116
2257,1636291377,10,1636291377.191378
2258,1636291378,10,1636291378.197738
2259,1636291379,10,1636291379.212108
2300,1636291380,10,1636291380.218864
2301,1636291381,10,1636291381.225375
2302,1636291382,10,1636291382.231791
2303,1636291383,10,1636291383.238166
2304,1636291384,10,1636291384.252214
2305,1636291385,10,1636291385.258844
2306,1636291386,10,1636291386.263967
2307,1636291387,10,1636291387.269482
2308,1636291388,10,1636291388.275513
2309,1636291389,8,1636291389.289705
2310,1636291390,8,1636291390.294682
2311,1636291391,8,1636291391.300337
2312,1636291392,8,1636291392.305171
2313,1636291393,8,1636291393.311200
2314,1636291394,8,1636291394.323314
2315,1636291395,8,1636291395.329906
2316,1636291396,8,1636291396.336464
2317,1636291397,8,1636291397.340719
2318,1636291398,8,1636291398.346320
2319,1636291399,6,1636291399.357866
2320,1636291400,6,1636291400.364408
2321,1636291401,6,1636291401.371165
2322,1636291402,6,1636291402.377661
2323,1636291403,6,1636291403.384091
2324,1636291404,4,1636291404.397993
2325,1636291405,4,1636291405.403348
2326,1636291406,4,1636291406.409564
2327,1636291407,4,1636291407.416383
2328,1636291408,4,1636291408.422737
2329,1636291409,2,1636291409.436618
2330,1636291410,2,1636291410.443088
2331,1636291411,2,1636291411.449769
2332,1636291412,2,1636291412.455243
2333,1636291413,2,1636291413.461560
2334,1636291414,2,1636291414.477583
2335,1636291415,2,1636291415.483977
2336,1636291416,2,1636291416.489718
2337,1636291417,2,1636291417.495810
2338,1636291418,2,1636291418.502032
2339,1636291419,2,1636291419.516921
2340,1636291420,2,1636291420.523437
2341,1636291421,2,1636291421.530218
2342,1636291422,2,1636291422.536618
2343,1636291423,2,1636291423.541410
2344,1636291424,4,1636291424.552414
2345,1636291425,4,1636291425.558683
2346,1636291426,4,1636291426.565530
2347,1636291427,4,1636291427.572396
2348,1636291428,4,1636291428.579480
2349,1636291429,6,1636291429.593044
2350,1636291430,6,1636291430.599040
2351,1636291431,6,1636291431.605731
2352,1636291432,6,1636291432.612488
2353,1636291433,6,1636291433.619262
2354,1636291434,8,1636291434.634206
2355,1636291435,8,1636291435.640273
2356,1636291436,8,1636291436.646582
2357,1636291437,8,1636291437.652910
2358,1636291438,8,1636291438.660486
2359,1636291439,8,1636291439.674127
2400,1636291440,8,1636291440.680683
2401,1636291441,8,1636291441.687006
2402,1636291442,8,1636291442.693500
2403,1636291443,8,1636291443.699901
2404,1636291444,10,1636291444.715500
2405,1636291445,10,1636291445.720464
2406,1636291446,10,1636291446.724576
2407,1636291447,10,1636291447.730570
2408,1636291448,10,1636291448.737252
2409,1636291449,10,1636291449.749923
2410,1636291450,10,1636291450.756034
2411,1636291451,10,1636291451.762222
2412,1636291452,10,1636291452.767388
2413,1636291453,10,1636291453.773227
2414,1636291454,10,1636291454.786315
2415,1636291455,10,1636291455.790523
2416,1636291456,10,1636291456.795422
2417,1636291457,10,1636291457.800891
2418,1636291458,10,1636291458.806658
2419,1636291459,8,1636291459.821427
2420,1636291460,8,1636291460.828107
2421,1636291461,8,1636291461.834941
2422,1636291462,8,1636291462.841833
2423,1636291463,8,1636291463.847696
2424,1636291464,8,1636291464.861108
2425,1636291465,8,1636291465.867435
2426,1636291466,8,1636291466.874210
2427,1636291467,8,1636291467.880922
2428,1636291468,8,1636291468.887754
2429,1636291469,6,1636291469.901486
2430,1636291470,6,1636291470.908255
2431,1636291471,6,1636291471.914726
2432,1636291472,6,1636291472.921586
2433,1636291473,6,1636291473.926918
2434,1636291474,4,1636291474.941034
2435,1636291475,4,1636291475.947780
2436,1636291476,4,1636291476.954111
2437,1636291477,4,1636291477.960578
2438,1636291478,4,1636291478.967010
2439,1636291479,2,1636291479.981067
2440,1636291480,2,1636291480.987541
2441,1636291481,2,1636291481.994222
2442,1636291482,2,1636291483.000535
2444,1636291484,2,1636291484.007251
2445,1636291485,2,1636291485.021671
2446,1636291486,2,1636291486.028361
2447,1636291487,2,1636291487.034012
2448,1636291488,2,1636291488.038819
2449,1636291489,2,1636291489.044687
2450,1636291490,2,1636291490.056153
2451,1636291491,2,1636291491.062755
2452,1636291492,2,1636291492.069503
2453,1636291493,2,1636291493.075325
2454,1636291494,2,1636291494.081730
2455,1636291495,4,1636291495.095928
2456,1636291496,4,1636291496.102473
2457,1636291497,4,1636291497.109132
2458,1636291498,4,1636291498.115799
2459,1636291499,4,1636291499.122653
2500,1636291500,6,1636291500.137936
2501,1636291501,6,1636291501.144701
2502,1636291502,6,1636291502.151663
2503,1636291503,6,1636291503.158345
2504,1636291504,6,1636291504.165242
2505,1636291505,8,1636291505.180563
2506,1636291506,8,1636291506.187323
2507,1636291507,8,1636291507.194115
2508,1636291508,8,1636291508.201156
2509,1636291509,8,1636291509.208080
2510,1636291510,8,1636291510.222202
2511,1636291511,8,1636291511.228571
2512,1636291512,8,1636291512.235362
2513,1636291513,8,1636291513.241829
2514,1636291514,8,1636291514.248606
2515,1636291515,10,1636291515.261972
2516,1636291516,10,1636291516.268695
2517,1636291517,10,1636291517.275395
2518,1636291518,10,1636291518.281989
2519,1636291519,10,1636291519.288644
2520,1636291520,10,1636291520.302130
2521,1636291521,10,1636291521.307135
2522,1636291522,10,1636291522.313549
2523,1636291523,10,1636291523.320007
2524,1636291524,10,1636291524.326009
2525,1636291525,10,1636291525.339866
2526,1636291526,10,1636291526.344969
2527,1636291527,10,1636291527.350589
2528,1636291528,10,1636291528.357158
2529,1636291529,10,1636291529.363922
2530,1636291530,8,1636291530.378615
2531,1636291531,8,1636291531.385981
2532,1636291532,8,1636291532.392517
2533,1636291533,8,1636291533.399492
2534,1636291534,8,1636291534.406039
2535,1636291535,8,1636291535.420419
2536,1636291536,8,1636291536.427585
2537,1636291537,8,1636291537.433815
2538,1636291538,8,1636291538.440867
2539,1636291539,8,1636291539.447613
2540,1636291540,6,1636291540.462238
2541,1636291541,6,1636291541.469094
2542,1636291542,6,1636291542.475993
2543,1636291543,6,1636291543.482833
2544,1636291544,6,1636291544.489669
2545,1636291545,4,1636291545.503991
2546,1636291546,4,1636291546.510385
2547,1636291547,4,1636291547.517356
2548,1636291548,4,1636291548.523970
2549,1636291549,4,1636291549.530643
2550,1636291550,2,1636291550.545161
2551,1636291551,2,1636291551.551819
2552,1636291552,2,1636291552.556950
2553,1636291553,2,1636291553.562185
2554,1636291554,2,1636291554.568337
2555,1636291555,2,1636291555.583073
2556,1636291556,2,1636291556.589374
2557,1636291557,2,1636291557.595358
2558,1636291558,2,1636291558.601060
2559,1636291559,2,1636291559.607378
2600,1636291560,2,1636291560.620257
2601,1636291561,2,1636291561.626622
2602,1636291562,2,1636291562.633484
2603,1636291563,2,1636291563.639122
2604,1636291564,2,1636291564.645609
2605,1636291565,4,1636291565.660064
2606,1636291566,4,1636291566.665888
2607,1636291567,4,1636291567.671642
2608,1636291568,4,1636291568.678113
2609,1636291569,4,1636291569.684682
2610,1636291570,6,1636291570.699913
2611,1636291571,6,1636291571.706655
2612,1636291572,6,1636291572.713556
2613,1636291573,6,1636291573.720318
2614,1636291574,6,1636291574.727010
2615,1636291575,8,1636291575.743160
2616,1636291576,8,1636291576.750114
2617,1636291577,8,1636291577.756449
2618,1636291578,8,1636291578.762681
2619,1636291579,8,1636291579.768807
2620,1636291580,8,1636291580.783295
2621,1636291581,8,1636291581.789580
2622,1636291582,8,1636291582.796437
2623,1636291583,8,1636291583.802373
2624,1636291584,8,1636291584.808274
2625,1636291585,10,1636291585.820530
2626,1636291586,10,1636291586.824267
2627,1636291587,10,1636291587.830528
2628,1636291588,10,1636291588.837447
2629,1636291589,10,1636291589.844215
2630,1636291590,10,1636291590.857408
2631,1636291591,10,1636291591.864040
2632,1636291592,10,1636291592.870909
2633,1636291593,10,1636291593.877579
2634,1636291594,10,1636291594.884448
2635,1636291595,10,1636291595.900102
2636,1636291596,10,1636291596.906735
2637,1636291597,10,1636291597.913953
2638,1636291598,10,1636291598.920223
2639,1636291599,10,1636291599.927526
2640,1636291600,8,1636291600.940748
2641,1636291601,8,1636291601.945284
2642,1636291602,8,1636291602.951468
2643,1636291603,8,1636291603.957831
2644,1636291604,8,1636291604.963826
2645,1636291605,8,1636291605.974257
2646,1636291606,8,1636291606.978649
2647,1636291607,8,1636291607.982760
2648,1636291608,8,1636291608.987676
2649,1636291609,8,1636291609.992112
2651,1636291611,6,1636291611.002778
2652,1636291612,6,1636291612.009189
2653,1636291613,6,1636291613.015000
2654,1636291614,6,1636291614.021124
2655,1636291615,6,1636291615.026004
2656,1636291616,4,1636291616.035456
2657,1636291617,4,1636291617.039185
2658,1636291618,4,1636291618.043132
2659,1636291619,4,1636291619.049002
2700,1636291620,4,1636291620.052523
2701,1636291621,2,1636291621.060683
2702,1636291622,2,1636291622.066565
2703,1636291623,2,1636291623.072301
2704,1636291624,2,1636291624.077162
2705,1636291625,2,1636291625.082036
2706,1636291626,2,1636291626.094161
2707,1636291627,2,1636291627.099478
2708,1636291628,2,1636291628.105632
2709,1636291629,2,1636291629.110875
2710,1636291630,2,1636291630.116273
2711,1636291631,2,1636291631.126200
2712,1636291632,2,1636291632.129789
2713,1636291633,2,1636291633.133289
2714,1636291634,2,1636291634.139129
2715,1636291635,2,1636291635.145780
2716,1636291636,4,1636291636.158564
2717,1636291637,4,1636291637.164422
2718,1636291638,4,1636291638.170083
2719,1636291639,4,1636291639.176504
2720,1636291640,4,1636291640.182453
2721,1636291641,6,1636291641.191680
2722,1636291642,6,1636291642.197652
2723,1636291643,6,1636291643.201750
2724,1636291644,6,1636291644.207031
2725,1636291645,6,1636291645.212024
2726,1636291646,8,1636291646.222655
2727,1636291647,8,1636291647.226712
2728,1636291648,8,1636291648.230791
2729,1636291649,8,1636291649.234814
2730,1636291650,8,1636291650.241456
2731,1636291651,8,1636291651.252331
2732,1636291652,8,1636291652.255718
2733,1636291653,8,1636291653.261646
2734,1636291654,8,1636291654.268832
2735,1636291655,8,1636291655.274650
2736,1636291656,10,1636291656.287217
2737,1636291657,10,1636291657.291784
2738,1636291658,10,1636291658.295793
2739,1636291659,10,1636291659.301940
2740,1636291660,10,1636291660.308492
2741,1636291661,10,1636291661.316688
2742,1636291662,10,1636291662.323212
2743,1636291663,10,1636291663.328253
2744,1636291664,10,1636291664.334277
2745,1636291665,10,1636291665.339158
2746,1636291666,10,1636291666.351237
2747,1636291667,10,1636291667.355237
2748,1636291668,10,1636291668.360378
2749,1636291669,10,1636291669.364712
2750,1636291670,10,1636291670.369939
2751,1636291671,8,1636291671.381143
2752,1636291672,8,1636291672.385089
2753,1636291673,8,1636291673.390152
2754,1636291674,8,1636291674.396439
2755,1636291675,8,1636291675.402876
2756,1636291676,8,1636291676.414440
2757,1636291677,8,1636291677.419770
2758,1636291678,8,1636291678.423318
2759,1636291679,8,1636291679.426916
2800,1636291680,8,1636291680.432270
2801,1636291681,6,1636291681.443040
2802,1636291682,6,1636291682.447405
2803,1636291683,6,1636291683.451568
2804,1636291684,6,1636291684.455987
2805,1636291685,6,1636291685.460069
2806,1636291686,4,1636291686.469210
2807,1636291687,4,1636291687.474808
2808,1636291688,4,1636291688.478977
2809,1636291689,4,1636291689.483670
2810,1636291690,4,1636291690.488800
2811,1636291691,2,1636291691.498986
2812,1636291692,2,1636291692.504988
2813,1636291693,2,1636291693.508820
2814,1636291694,2,1636291694.515623
2815,1636291695,2,1636291695.521420
2816,1636291696,2,1636291696.533321
2817,1636291697,2,1636291697.539637
2818,1636291698,2,1636291698.544974
2819,1636291699,2,1636291699.551510
2820,1636291700,2,1636291700.558393
2821,1636291701,2,1636291701.570764
2822,1636291702,2,1636291702.573816
2823,1636291703,2,1636291703.579591
2824,1636291704,2,1636291704.584161
2825,1636291705,2,1636291705.590294
2826,1636291706,4,1636291706.601645
2827,1636291707,4,1636291707.605487
2828,1636291708,4,1636291708.609674
2829,1636291709,4,1636291709.614657
2830,1636291710,4,1636291710.618432
2831,1636291711,6,1636291711.627350
2832,1636291712,6,1636291712.631796
2833,1636291713,6,1636291713.634698
2834,1636291714,6,1636291714.637777
2835,1636291715,6,1636291715.643063
2836,1636291716,8,1636291716.655097
2837,1636291717,8,1636291717.659601
2838,1636291718,8,1636291718.664866
2839,1636291719,8,1636291719.670116
2840,1636291720,8,1636291720.675631
2841,1636291721,8,1636291721.687509
2842,1636291722,8,1636291722.692107
2843,1636291723,8,1636291723.695819
2844,1636291724,8,1636291724.699774
2845,1636291725,8,1636291725.706032
2846,1636291726,10,1636291726.717554
2847,1636291727,10,1636291727.721542
2848,1636291728,10,1636291728.725256
2849,1636291729,10,1636291729.729645
2850,1636291730,10,1636291730.734790
2851,1636291731,10,1636291731.743049
2852,1636291732,10,1636291732.746016
2853,1636291733,10,1636291733.751164
2854,1636291734,10,1636291734.757648
2855,1636291735,10,1636291735.763518
2856,1636291736,10,1636291736.775471
2857,1636291737,10,1636291737.781502
2858,1636291738,10,1636291738.785236
2859,1636291739,10,1636291739.790647
2900,1636291740,10,1636291740.795029
2901,1636291741,8,1636291741.803342
2902,1636291742,8,1636291742.806775
2903,1636291743,8,1636291743.812875
2904,1636291744,8,1636291744.817078
2905,1636291745,8,1636291745.822928
2906,1636291746,8,1636291746.835982
2907,1636291747,8,1636291747.841751
2908,1636291748,8,1636291748.848302
2909,1636291749,8,1636291749.854979
2910,1636291750,8,1636291750.860799
2911,1636291751,6,1636291751.872230
2912,1636291752,6,1636291752.876004
2913,1636291753,6,1636291753.881312
2914,1636291754,6,1636291754.887069
2915,1636291755,6,1636291755.893544
2916,1636291756,4,1636291756.901581
2917,1636291757,4,1636291757.907810
2918,1636291758,4,1636291758.911972
2919,1636291759,4,1636291759.915990
2920,1636291760,4,1636291760.919786
2921,1636291761,2,1636291761.930867
2922,1636291762,2,1636291762.935323
2923,1636291763,2,1636291763.941130
2924,1636291764,2,1636291764.947258
2925,1636291765,2,1636291765.953425
2926,1636291766,2,1636291766.965711
2927,1636291767,2,1636291767.971020
2928,1636291768,2,1636291768.976852
2929,1636291769,2,1636291769.981939
2930,1636291770,2,1636291770.985903
2931,1636291771,2,1636291771.998395
2933,1636291773,2,1636291773.002261
2934,1636291774,2,1636291774.007288
2935,1636291775,2,1636291775.012161
2936,1636291776,2,1636291776.016237
2937,1636291777,4,1636291777.030376
2938,1636291778,4,1636291778.035512
2939,1636291779,4,1636291779.039581
2940,1636291780,4,1636291780.043945
2941,1636291781,4,1636291781.047946
2942,1636291782,6,1636291782.058936
2943,1636291783,6,1636291783.063411
2944,1636291784,6,1636291784.068757
2945,1636291785,6,1636291785.074605
2946,1636291786,6,1636291786.080659
2947,1636291787,8,1636291787.094906
2948,1636291788,8,1636291788.100171
2949,1636291789,8,1636291789.106404
2950,1636291790,8,1636291790.112196
2951,1636291791,8,1636291791.117925
