minsec,seconds,optB,timestamp
4906,1635929346,10,1635929346.675132
4907,1635929347,10,1635929347.680388
4908,1635929348,10,1635929348.686370
4909,1635929349,10,1635929349.691073
4910,1635929350,10,1635929350.695129
4911,1635929351,10,1635929351.705300
4912,1635929352,10,1635929352.711933
4913,1635929353,10,1635929353.717535
4914,1635929354,10,1635929354.722176
4915,1635929355,10,1635929355.726365
4916,1635929356,8,1635929356.737020
4917,1635929357,8,1635929357.740686
4918,1635929358,8,1635929358.745438
4919,1635929359,8,1635929359.749257
4920,1635929360,8,1635929360.753155
4921,1635929361,8,1635929361.762412
4922,1635929362,8,1635929362.766690
4923,1635929363,8,1635929363.772496
4924,1635929364,8,1635929364.776502
4925,1635929365,8,1635929365.780815
4926,1635929366,6,1635929366.789344
4927,1635929367,6,1635929367.794231
4928,1635929368,6,1635929368.798814
4929,1635929369,6,1635929369.805069
4930,1635929370,6,1635929370.810390
4931,1635929371,4,1635929371.820828
4932,1635929372,4,1635929372.825065
4933,1635929373,4,1635929373.829297
4934,1635929374,4,1635929374.833784
4935,1635929375,4,1635929375.838809
4936,1635929376,2,1635929376.851625
4937,1635929377,2,1635929377.855294
4938,1635929378,2,1635929378.859006
4939,1635929379,2,1635929379.862704
4940,1635929380,2,1635929380.867011
4941,1635929381,2,1635929381.877807
4942,1635929382,2,1635929382.881263
4943,1635929383,2,1635929383.884560
4944,1635929384,2,1635929384.889080
4945,1635929385,2,1635929385.892406
4946,1635929386,2,1635929386.902060
4947,1635929387,2,1635929387.907957
4948,1635929388,2,1635929388.913551
4949,1635929389,2,1635929389.918198
4950,1635929390,2,1635929390.923337
4951,1635929391,4,1635929391.933989
4952,1635929392,4,1635929392.939368
4953,1635929393,4,1635929393.943787
4954,1635929394,4,1635929394.948607
4955,1635929395,4,1635929395.952096
4956,1635929396,6,1635929396.960142
4957,1635929397,6,1635929397.964302
4958,1635929398,6,1635929398.969577
4959,1635929399,6,1635929399.977005
5000,1635929400,6,1635929400.980313
5001,1635929401,8,1635929401.987363
5002,1635929402,8,1635929402.991723
5003,1635929403,8,1635929403.996051
5004,1635929404,8,1635929404.999993
5006,1635929406,8,1635929406.005209
5007,1635929407,8,1635929407.014940
5008,1635929408,8,1635929408.018360
5009,1635929409,8,1635929409.024072
5010,1635929410,8,1635929410.030572
5011,1635929411,8,1635929411.037153
5012,1635929412,10,1635929412.051964
